"DateTime","Players","Average Players","Flags"
"2021-09-29 00:00:00",867,,
"2021-09-30 00:00:00",941,,
"2021-10-01 00:00:00",1040,,
"2021-10-02 00:00:00",1131,,
"2021-10-03 00:00:00",1055,,
"2021-10-04 00:00:00",1318,,
"2021-10-05 00:00:00",1352,,
"2021-10-06 00:00:00",1623,,
"2021-10-07 00:00:00",1689,,
"2021-10-08 00:00:00",1779,,
"2021-10-09 00:00:00",1899,,
"2021-10-10 00:00:00",1931,,
"2021-10-11 00:00:00",1645,,
"2021-10-12 00:00:00",1381,,
"2021-10-13 00:00:00",1244,,
"2021-10-14 00:00:00",1232,,
"2021-10-15 00:00:00",1343,,
"2021-10-16 00:00:00",1790,,
"2021-10-17 00:00:00",1814,,
"2021-10-18 00:00:00",1402,,
"2021-10-19 00:00:00",1270,,
"2021-10-20 00:00:00",1314,,
"2021-10-21 00:00:00",1305,,
"2021-10-22 00:00:00",1339,,
"2021-10-23 00:00:00",1592,,
"2021-10-24 00:00:00",1474,,
"2021-10-25 00:00:00",1954,,
"2021-10-26 00:00:00",2454,,
"2021-10-27 00:00:00",2492,,
"2021-10-28 00:00:00",2438,,
"2021-10-29 00:00:00",3186,,
"2021-10-30 00:00:00",3054,,
"2021-10-31 00:00:00",2732,,
"2021-11-01 00:00:00",2124,,
"2021-11-02 00:00:00",2064,,
"2021-11-03 00:00:00",2088,,
"2021-11-04 00:00:00",1957,,
"2021-11-05 00:00:00",2407,,
"2021-11-06 00:00:00",2443,,
"2021-11-07 00:00:00",2315,,
"2021-11-08 00:00:00",2665,,
"2021-11-09 00:00:00",2789,,
"2021-11-10 00:00:00",3306,,
"2021-11-11 00:00:00",2774,,
"2021-11-12 00:00:00",3400,,
"2021-11-13 00:00:00",3409,,
"2021-11-14 00:00:00",3213,,
"2021-11-15 00:00:00",3162,,
"2021-11-16 00:00:00",3152,,
"2021-11-17 00:00:00",3096,,
"2021-11-18 00:00:00",2901,,
"2021-11-19 00:00:00",3229,,
"2021-11-20 00:00:00",3436,,
"2021-11-21 00:00:00",3139,,
"2021-11-22 00:00:00",2995,,
"2021-11-23 00:00:00",3088,,
"2021-11-24 00:00:00",3029,,
"2021-11-25 00:00:00",3754,,
"2021-11-26 00:00:00",4877,,
"2021-11-27 00:00:00",5202,,
"2021-11-28 00:00:00",4373,,
"2021-11-29 00:00:00",4680,,
"2021-11-30 00:00:00",5276,,
"2021-12-01 00:00:00",4204,,
"2021-12-02 00:00:00",5227,,
"2021-12-03 00:00:00",5919,,
"2021-12-04 00:00:00",5621,,
"2021-12-05 00:00:00",5397,,
"2021-12-06 00:00:00",4615,,
"2021-12-07 00:00:00",4850,,
"2021-12-08 00:00:00",4409,,
"2021-12-09 00:00:00",5432,,
"2021-12-10 00:00:00",5557,,
"2021-12-11 00:00:00",5443,,
"2021-12-12 00:00:00",4807,,
"2021-12-13 00:00:00",4244,,
"2021-12-14 00:00:00",3620,,
"2021-12-15 00:00:00",3571,,
"2021-12-16 00:00:00",3748,,
"2021-12-17 00:00:00",4872,,
"2021-12-18 00:00:00",5409,,
"2021-12-19 00:00:00",4545,,
"2021-12-20 00:00:00",4349,,
"2021-12-21 00:00:00",4355,,
"2021-12-22 00:00:00",4323,,
"2021-12-23 00:00:00",3654,,
"2021-12-24 00:00:00",4474,,
"2021-12-25 00:00:00",4483,,
"2021-12-26 00:00:00",4189,,
"2021-12-27 00:00:00",4549,,
"2021-12-28 00:00:00",4364,,
"2021-12-29 00:00:00",4392,,
"2021-12-30 00:00:00",4895,,
"2021-12-31 00:00:00",5687,,
"2022-01-01 00:00:00",5453,,
"2022-01-02 00:00:00",5660,,
"2022-01-03 00:00:00",5011,,
"2022-01-04 00:00:00",5800,,
"2022-01-05 00:00:00",5983,,
"2022-01-06 00:00:00",7178,,
"2022-01-07 00:00:00",8403,,
"2022-01-08 00:00:00",9191,,
"2022-01-09 00:00:00",8401,,
"2022-01-10 00:00:00",7685,,
"2022-01-11 00:00:00",8235,,
"2022-01-12 00:00:00",6872,,
"2022-01-13 00:00:00",7401,,
"2022-01-14 00:00:00",10009,,
"2022-01-15 00:00:00",10954,,
"2022-01-16 00:00:00",9787,,
"2022-01-17 00:00:00",8905,,
"2022-01-18 00:00:00",9275,,
"2022-01-19 00:00:00",8950,,
"2022-01-20 00:00:00",8951,,
"2022-01-21 00:00:00",10353,,
"2022-01-22 00:00:00",10813,,
"2022-01-23 00:00:00",12663,,
"2022-01-24 00:00:00",12208,,
"2022-01-25 00:00:00",13238,,
"2022-01-26 00:00:00",16528,,
"2022-01-27 00:00:00",12509,,
"2022-01-28 00:00:00",15749,,
"2022-01-29 00:00:00",15348,,
"2022-01-30 00:00:00",14427,,
"2022-01-31 00:00:00",11143,,
"2022-02-01 00:00:00",14401,,
"2022-02-02 00:00:00",14521,,
"2022-02-03 00:00:00",11809,,
"2022-02-04 00:00:00",15867,,
"2022-02-05 00:00:00",17494,,
"2022-02-06 00:00:00",15144,,
"2022-02-07 00:00:00",11239,,
"2022-02-08 00:00:00",12731,,
"2022-02-09 00:00:00",11839,,
"2022-02-10 00:00:00",12786,,
"2022-02-11 00:00:00",17737,,
"2022-02-12 00:00:00",21492,,
"2022-02-13 00:00:00",19020,,
"2022-02-14 00:00:00",15905,,
"2022-02-15 00:00:00",16596,,
"2022-02-16 00:00:00",12938,,
"2022-02-17 00:00:00",13125,,
"2022-02-18 00:00:00",17809,,
"2022-02-19 00:00:00",21362,,
"2022-02-20 00:00:00",17683,,
"2022-02-21 00:00:00",14399,,
"2022-02-22 00:00:00",15158,,
"2022-02-23 00:00:00",12632,,
"2022-02-24 00:00:00",12280,,
"2022-02-25 00:00:00",16706,,
"2022-02-26 00:00:00",18892,,
"2022-02-27 00:00:00",16773,,
"2022-02-28 00:00:00",17255,,
"2022-03-01 00:00:00",13755,,
"2022-03-02 00:00:00",8375,,
"2022-03-03 00:00:00",9439,,
"2022-03-04 00:00:00",15007,,
"2022-03-05 00:00:00",18438,,
"2022-03-06 00:00:00",12605,,
"2022-03-07 00:00:00",9230,,
"2022-03-08 00:00:00",15760,,
"2022-03-09 00:00:00",10662,,
"2022-03-10 00:00:00",8472,,
"2022-03-11 00:00:00",14428,,
"2022-03-12 00:00:00",17851,,
