"DateTime","Players","Players Trend"
"2023-04-20 22:30:00",4717,20273.14910773337
"2023-04-20 22:40:00",4614,20270.834442942207
"2023-04-20 22:50:00",4541,20267.86739146042
"2023-04-20 23:00:00",4372,20263.788972100014
"2023-04-20 23:10:00",4143,20259.664870689656
"2023-04-20 23:20:00",4062,20255.43686618166
"2023-04-20 23:30:00",3964,20251.129418045468
"2023-04-20 23:40:00",3897,20246.783985237613
"2023-04-20 23:50:00",3824,20242.195066550925
"2023-04-21 00:00:00",3788,20237.89062773296
"2023-04-21 00:10:00",3725,20233.321655919313
"2023-04-21 00:20:00",3713,20229.14647068036
"2023-04-21 00:30:00",3737,20225.427813046703
"2023-04-21 00:40:00",3778,20222.13425727513
"2023-04-21 00:50:00",3943,20219.235004881582
"2023-04-21 01:00:00",3986,20216.122672654197
"2023-04-21 01:10:00",4076,20213.614629405725
"2023-04-21 01:20:00",4254,20211.79233829621
"2023-04-21 01:30:00",4399,20210.58663003663
"2023-04-21 01:40:00",4488,20210.150997964123
"2023-04-21 01:50:00",4671,20210.530573906224
"2023-04-21 02:00:00",4868,20211.705156368105
"2023-04-21 02:10:00",4977,20214.058423161965
"2023-04-21 02:20:00",5224,20218.26592491549
"2023-04-21 02:30:00",5463,20223.057492267737
"2023-04-21 02:40:00",5726,20228.755058678984
"2023-04-21 02:50:00",5927,20235.01618573154
"2023-04-21 03:00:00",6091,20242.203592185775
"2023-04-21 03:10:00",6249,20250.31297388747
"2023-04-21 03:20:00",6485,20258.9742784673
"2023-04-21 03:30:00",6601,20268.7542054992
"2023-04-21 03:40:00",6759,20279.336060688925
"2023-04-21 03:50:00",6952,20290.832696070323
"2023-04-21 04:00:00",7184,20307.547123015873
"2023-04-21 04:10:00",7475,20325.102182539682
"2023-04-21 04:20:00",7842,20342.603078152555
"2023-04-21 04:30:00",8325,20360.37991898148
"2023-04-21 04:40:00",8659,20377.65310846561
"2023-04-21 04:50:00",8948,20395.534942680777
"2023-04-21 05:00:00",9198,20414.723090277777
"2023-04-21 05:10:00",9459,20435.61761463845
"2023-04-21 05:20:00",9664,20458.231453924163
"2023-04-21 05:30:00",9905,20483.106212797622
"2023-04-21 05:40:00",10126,20509.028645833336
"2023-04-21 05:50:00",10248,20536.972580467373
"2023-04-21 06:00:00",10557,20567.830977182544
"2023-04-21 06:10:00",10670,20599.58656787368
"2023-04-21 06:20:00",10903,20634.778921406527
"2023-04-21 06:30:00",11202,20671.938760747358
"2023-04-21 06:40:00",11430,20709.78505291006
"2023-04-21 06:50:00",11702,20749.91447241513
"2023-04-21 07:00:00",11952,20791.309647817467
"2023-04-21 07:10:00",12229,20833.835689484134
"2023-04-21 07:20:00",12614,20877.219094466494
"2023-04-21 07:30:00",12865,20920.73010706019
"2023-04-21 07:40:00",13212,20965.11281966491
"2023-04-21 07:50:00",13529,21010.233424272494
"2023-04-21 08:00:00",13875,21055.443287037044
"2023-04-21 08:10:00",14170,21100.55559344687
"2023-04-21 08:20:00",14672,21145.63713210979
"2023-04-21 08:30:00",15026,21188.92940848214
"2023-04-21 08:40:00",15295,21231.39832727072
"2023-04-21 08:50:00",15486,21273.349223572528
"2023-04-21 09:00:00",15674,21315.286851025132
"2023-04-21 09:10:00",15705,21355.5622347608
"2023-04-21 09:20:00",15848,21394.877590388005
"2023-04-21 09:30:00",15974,21431.901145006614
"2023-04-21 09:40:00",16053,21466.976948302465
"2023-04-21 09:50:00",16155,21499.32822833995
"2023-04-21 10:00:00",16255,21529.848958333332
"2023-04-21 10:10:00",16459,21558.420600473986
"2023-04-21 10:20:00",16652,21584.837673611113
"2023-04-21 10:30:00",17055,21610.08059482474
"2023-04-21 10:40:00",17605,21633.144290123462
"2023-04-21 10:50:00",18209,21654.69499214617
"2023-04-21 11:00:00",19078,21675.785652281756
"2023-04-21 11:10:00",20314,21696.901065779326
"2023-04-21 11:20:00",21673,21717.62235449736
"2023-04-21 11:30:00",23434,21737.814887152785
"2023-04-21 11:40:00",25628,21759.506159060853
"2023-04-21 11:50:00",28103,21782.052389908516
"2023-04-21 12:00:00",30914,21804.77876984128
"2023-04-21 12:10:00",34174,21828.911299878757
"2023-04-21 12:20:00",37595,21854.4888806217
"2023-04-21 12:30:00",41192,21877.102833581353
"2023-04-21 12:40:00",44915,21894.70775462963
"2023-04-21 12:50:00",48569,21909.70787863757
"2023-04-21 13:00:00",52611,21925.75948660715
"2023-04-21 13:10:00",56728,21939.614814125885
"2023-04-21 13:20:00",60540,21951.27438822752
"2023-04-21 13:30:00",64120,21960.810608878975
